JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2460916.294999,7.377,0.000,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.561|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.282|KREFMAG=10.966|VMAGINS=-15.870|VMAG=7.377,0,1.067,Z,-14.561,-12.284,,SX PHE,AAVSO,STD,,,,
2460916.295720,7.426,0.000,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.567|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.287|KREFMAG=10.966|VMAGINS=-15.827|VMAG=7.426,0,1.068,Z,-14.567,-12.348,,SX PHE,AAVSO,STD,,,,
2460916.296446,7.357,0.000,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.549|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.270|KREFMAG=10.966|VMAGINS=-15.878|VMAG=7.357,0,1.069,Z,-14.549,-12.338,,SX PHE,AAVSO,STD,,,,
2460916.297169,7.396,0.000,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.586|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.306|KREFMAG=10.966|VMAGINS=-15.876|VMAG=7.396,0,1.071,Z,-14.586,-12.301,,SX PHE,AAVSO,STD,,,,
2460916.297915,7.327,0.000,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.558|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.278|KREFMAG=10.966|VMAGINS=-15.917|VMAG=7.327,0,1.072,Z,-14.558,-12.307,,SX PHE,AAVSO,STD,,,,
2460916.298641,7.377,0.000,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.558|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.279|KREFMAG=10.966|VMAGINS=-15.867|VMAG=7.377,0,1.073,Z,-14.558,-12.372,,SX PHE,AAVSO,STD,,,,
2460916.299388,7.302,0.000,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.559|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.280|KREFMAG=10.966|VMAGINS=-15.944|VMAG=7.302,0,1.075,Z,-14.559,-12.281,,SX PHE,AAVSO,STD,,,,
2460916.300115,7.346,0.000,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.550|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.271|KREFMAG=10.966|VMAGINS=-15.890|VMAG=7.346,0,1.076,Z,-14.550,-12.283,,SX PHE,AAVSO,STD,,,,
2460916.300839,7.364,0.000,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.558|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.278|KREFMAG=10.966|VMAGINS=-15.881|VMAG=7.364,0,1.077,Z,-14.558,-12.230,,SX PHE,AAVSO,STD,,,,
2460916.301500,7.445,0.000,,TG,PEX,,000-BPZ-046,234804-412235,X40662BCU,|CNAME=000-BPZ-046|CDEC=-41.86578|CRA=356.72092|CMAGINS=-14.609|CREFMAG=8.686|KNAME=234804-412235|KDEC=-41.37655|KRA=357.01965|KMAGINS=-12.329|KREFMAG=10.966|VMAGINS=-15.849|VMAG=7.445,0,1.079,Z,-14.609,-12.408,,SX PHE,AAVSO,STD,,,,
