#TYPE=Extended
#OBSCODE=WJRA
#SOFTWARE=ASTAP, v2026.07.16
#DELIM=,
#DATE=JD
#OBSTYPE=CCD
#COMMENTS=CMAG ensemble using transformed Gaia magnitudes.
#
#NAME,DATE,MAG,MERR,FILT,TRANS,MTYPE,CNAME,CMAG,KNAME,KMAG,AIRMASS,GROUP,CHART,NOTES
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.80305,10.746,0.0089,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.756,1.399,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.80376,10.771,0.0090,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.742,1.395,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.80446,10.799,0.0091,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.744,1.390,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.80516,10.810,0.0092,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.746,1.385,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.80587,10.829,0.0093,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.735,1.379,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.80657,10.853,0.0094,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.747,1.374,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.80727,10.867,0.0094,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.744,1.369,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.80909,10.917,0.0096,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.755,1.350,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.80979,10.929,0.0097,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.734,1.346,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.81082,10.966,0.0099,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.742,1.339,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.81153,10.975,0.0099,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.755,1.334,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.81236,10.985,0.0099,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.754,1.329,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.81307,10.998,0.0100,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.741,1.324,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.81377,11.017,0.0102,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.745,1.320,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.81462,11.028,0.0101,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.743,1.314,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.81533,11.023,0.0101,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.741,1.310,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.81603,11.039,0.0101,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.747,1.306,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.81673,11.048,0.0102,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.744,1.302,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.81744,11.055,0.0102,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.745,1.297,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.81814,11.058,0.0102,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.752,1.293,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.81885,11.067,0.0102,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.750,1.289,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.81955,11.069,0.0103,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.747,1.285,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.82025,11.062,0.0103,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.736,1.281,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.82096,11.082,0.0103,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.743,1.277,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.82166,11.093,0.0104,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.751,1.273,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.82237,11.089,0.0104,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.735,1.270,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.82307,11.095,0.0104,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.735,1.266,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.82378,11.102,0.0104,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.736,1.262,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.82448,11.098,0.0104,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.742,1.258,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.82518,11.113,0.0104,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.749,1.255,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.82589,11.110,0.0104,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.740,1.251,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
CY Aqr 10.42-11.2; Period 0.061038408; Type DSct; Spectr A2-A8,2461288.82659,11.121,0.0105,TG,NO,STD,ENSEMBLE,na,000-BCQ-590_V=11.740_(0.100),11.740,1.248,na,na,Ensemble of Gaia DR3 stars (transformed)Online Gaia; Aperture=1.8 HFD; annulus=25px
