JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457118.35277,10.204,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,2.00,Z,17.629,17.462,,YZ BOO,VVS,STD,,,,
2457118.35385,10.158,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.98,Z,17.621,17.433,,YZ BOO,VVS,STD,,,,
2457118.35462,10.139,0.008,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.97,Z,17.577,17.408,,YZ BOO,VVS,STD,,,,
2457118.35539,10.123,0.010,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.96,Z,17.557,17.379,,YZ BOO,VVS,STD,,,,
2457118.35617,10.095,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.95,Z,17.564,17.365,,YZ BOO,VVS,STD,,,,
2457118.35694,10.081,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.94,Z,17.539,17.356,,YZ BOO,VVS,STD,,,,
2457118.35772,10.088,0.008,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.94,Z,17.501,17.351,,YZ BOO,VVS,STD,,,,
2457118.35850,10.041,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.93,Z,17.525,17.341,,YZ BOO,VVS,STD,,,,
2457118.35927,10.038,0.008,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.92,Z,17.529,17.335,,YZ BOO,VVS,STD,,,,
2457118.36005,10.043,0.008,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.91,Z,17.488,17.319,,YZ BOO,VVS,STD,,,,
2457118.36082,10.027,0.008,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.90,Z,17.508,17.331,,YZ BOO,VVS,STD,,,,
2457118.36159,10.028,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.89,Z,17.504,17.321,,YZ BOO,VVS,STD,,,,
2457118.36236,10.009,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.88,Z,17.524,17.333,,YZ BOO,VVS,STD,,,,
2457118.36314,10.004,0.008,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.87,Z,17.512,17.339,,YZ BOO,VVS,STD,,,,
2457118.36391,10.021,0.008,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.86,Z,17.485,17.321,,YZ BOO,VVS,STD,,,,
2457118.36469,10.019,0.008,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.86,Z,17.465,17.301,,YZ BOO,VVS,STD,,,,
2457118.36546,10.012,0.008,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.85,Z,17.471,17.280,,YZ BOO,VVS,STD,,,,
2457118.36623,10.010,0.008,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.84,Z,17.469,17.286,,YZ BOO,VVS,STD,,,,
2457118.36700,10.022,0.008,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.83,Z,17.462,17.290,,YZ BOO,VVS,STD,,,,
2457118.36778,10.027,0.008,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.82,Z,17.453,17.280,,YZ BOO,VVS,STD,,,,
2457118.36855,10.017,0.008,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.81,Z,17.448,17.263,,YZ BOO,VVS,STD,,,,
2457118.36933,10.057,0.008,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.81,Z,17.441,17.261,,YZ BOO,VVS,STD,,,,
2457118.37010,10.031,0.008,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.80,Z,17.470,17.282,,YZ BOO,VVS,STD,,,,
2457118.37088,10.049,0.008,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.79,Z,17.429,17.253,,YZ BOO,VVS,STD,,,,
2457118.37166,10.054,0.008,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.78,Z,17.431,17.262,,YZ BOO,VVS,STD,,,,
2457118.37242,10.061,0.008,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.78,Z,17.444,17.261,,YZ BOO,VVS,STD,,,,
2457118.37319,10.067,0.008,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.77,Z,17.433,17.262,,YZ BOO,VVS,STD,,,,
2457118.37397,10.058,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.76,Z,17.443,17.221,,YZ BOO,VVS,STD,,,,
2457118.37475,10.066,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.75,Z,17.432,17.213,,YZ BOO,VVS,STD,,,,
2457118.37552,10.043,0.010,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.75,Z,17.456,17.200,,YZ BOO,VVS,STD,,,,
2457118.37628,10.041,0.010,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.74,Z,17.471,17.214,,YZ BOO,VVS,STD,,,,
2457118.37736,10.079,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.73,Z,17.440,17.247,,YZ BOO,VVS,STD,,,,
2457118.37814,10.093,0.009,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.72,Z,17.421,17.230,,YZ BOO,VVS,STD,,,,
2457118.37891,10.087,0.008,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.71,Z,17.431,17.246,,YZ BOO,VVS,STD,,,,
2457118.37969,10.104,0.007,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.71,Z,17.437,17.253,,YZ BOO,VVS,STD,,,,
2457118.38045,10.114,0.007,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.70,Z,17.428,17.253,,YZ BOO,VVS,STD,,,,
2457118.38123,10.126,0.007,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.69,Z,17.417,17.236,,YZ BOO,VVS,STD,,,,
2457118.38200,10.126,0.008,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.69,Z,17.420,17.239,,YZ BOO,VVS,STD,,,,
2457118.38278,10.133,0.008,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.68,Z,17.411,17.227,,YZ BOO,VVS,STD,,,,
2457118.38355,10.146,0.008,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.67,Z,17.403,17.222,,YZ BOO,VVS,STD,,,,
2457118.38432,10.149,0.007,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.67,Z,17.424,17.240,,YZ BOO,VVS,STD,,,,
2457118.38509,10.145,0.007,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.66,Z,17.412,17.213,,YZ BOO,VVS,STD,,,,
2457118.38587,10.158,0.006,,V,VMAE,,GSC 2569-1184,GSC 2569-1050,,STANDARD MAG: C = 11.280  K = 11.180,0,1.65,Z,17.409,17.227,,YZ BOO,VVS,STD,,,,
