JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2460887.247243,11.059,0.010,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.205,Z,-12.691,-13.415,,CY AQR,AAVSO,STD,,,,
2460887.247739,11.056,0.011,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.205,Z,-12.677,-13.442,,CY AQR,AAVSO,STD,,,,
2460887.248599,10.956,0.009,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.204,Z,-12.686,-13.441,,CY AQR,AAVSO,STD,,,,
2460887.249295,11.114,0.010,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.204,Z,-12.680,-13.406,,CY AQR,AAVSO,STD,,,,
2460887.249735,11.024,0.010,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.203,Z,-12.680,-13.448,,CY AQR,AAVSO,STD,,,,
2460887.250471,11.032,0.010,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.203,Z,-12.678,-13.412,,CY AQR,AAVSO,STD,,,,
2460887.251526,11.092,0.014,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.202,Z,-12.513,-13.202,,CY AQR,AAVSO,STD,,,,
2460887.252063,11.095,0.013,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.202,Z,-12.613,-13.326,,CY AQR,AAVSO,STD,,,,
2460887.253141,11.071,0.012,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.201,Z,-12.573,-13.383,,CY AQR,AAVSO,STD,,,,
2460887.253637,11.086,0.013,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.201,Z,-12.598,-13.343,,CY AQR,AAVSO,STD,,,,
2460887.255108,11.156,0.014,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.201,Z,-12.495,-13.208,,CY AQR,AAVSO,STD,,,,
2460887.256279,11.088,0.012,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.200,Z,-12.532,-13.258,,CY AQR,AAVSO,STD,,,,
2460887.257374,10.994,0.012,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.200,Z,-12.600,-13.380,,CY AQR,AAVSO,STD,,,,
2460887.259107,11.064,0.012,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.199,Z,-12.625,-13.350,,CY AQR,AAVSO,STD,,,,
2460887.260118,11.126,0.012,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.199,Z,-12.604,-13.359,,CY AQR,AAVSO,STD,,,,
2460887.260844,11.123,0.013,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.199,Z,-12.571,-13.367,,CY AQR,AAVSO,STD,,,,
2460887.261273,11.085,0.019,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.199,Z,-12.310,-13.098,,CY AQR,AAVSO,STD,,,,
2460887.261702,10.991,0.011,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.199,Z,-12.555,-13.358,,CY AQR,AAVSO,STD,,,,
2460887.262382,11.163,0.015,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.199,Z,-12.497,-13.265,,CY AQR,AAVSO,STD,,,,
2460887.263040,11.115,0.011,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.199,Z,-12.662,-13.438,,CY AQR,AAVSO,STD,,,,
2460887.263479,11.041,0.014,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.199,Z,-12.491,-13.280,,CY AQR,AAVSO,STD,,,,
2460887.264159,11.152,0.015,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.199,Z,-12.498,-13.278,,CY AQR,AAVSO,STD,,,,
2460887.264796,11.084,0.012,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.199,Z,-12.584,-13.291,,CY AQR,AAVSO,STD,,,,
2460887.265390,11.061,0.011,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.199,Z,-12.647,-13.388,,CY AQR,AAVSO,STD,,,,
2460887.265984,11.121,0.010,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.199,Z,-12.694,-13.460,,CY AQR,AAVSO,STD,,,,
2460887.266422,11.130,0.011,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.199,Z,-12.677,-13.432,,CY AQR,AAVSO,STD,,,,
2460887.266994,11.065,0.010,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.199,Z,-12.663,-13.443,,CY AQR,AAVSO,STD,,,,
2460887.268312,11.121,0.011,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.199,Z,-12.694,-13.439,,CY AQR,AAVSO,STD,,,,
2460887.268872,11.122,0.011,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.199,Z,-12.709,-13.417,,CY AQR,AAVSO,STD,,,,
2460887.269519,11.077,0.011,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.199,Z,-12.680,-13.448,,CY AQR,AAVSO,STD,,,,
2460887.270374,11.071,0.011,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.200,Z,-12.655,-13.444,,CY AQR,AAVSO,STD,,,,
2460887.270879,11.065,0.010,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.200,Z,-12.712,-13.393,,CY AQR,AAVSO,STD,,,,
2460887.271343,11.058,0.009,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.200,Z,-12.716,-13.417,,CY AQR,AAVSO,STD,,,,
2460887.271773,11.008,0.010,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.200,Z,-12.671,-13.413,,CY AQR,AAVSO,STD,,,,
2460887.272202,11.075,0.011,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.200,Z,-12.698,-13.427,,CY AQR,AAVSO,STD,,,,
2460887.272792,10.932,0.010,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.201,Z,-12.628,-13.283,,CY AQR,AAVSO,STD,,,,
2460887.273849,10.999,0.012,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.201,Z,-12.540,-13.284,,CY AQR,AAVSO,STD,,,,
2460887.274466,10.934,0.012,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.201,Z,-12.520,-13.215,,CY AQR,AAVSO,STD,,,,
2460887.275640,10.844,0.011,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.202,Z,-12.517,-13.276,,CY AQR,AAVSO,STD,,,,
2460887.276809,10.844,0.010,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.203,Z,-12.576,-13.239,,CY AQR,AAVSO,STD,,,,
2460887.277357,10.698,0.010,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.203,Z,-12.500,-13.199,,CY AQR,AAVSO,STD,,,,
2460887.277787,10.621,0.007,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.203,Z,-12.593,-13.306,,CY AQR,AAVSO,STD,,,,
2460887.278217,10.574,0.006,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.204,Z,-12.625,-13.415,,CY AQR,AAVSO,STD,,,,
2460887.278831,10.521,0.006,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.204,Z,-12.681,-13.414,,CY AQR,AAVSO,STD,,,,
2460887.279850,10.438,0.009,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.205,Z,-12.428,-13.142,,CY AQR,AAVSO,STD,,,,
2460887.280410,10.438,0.006,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.205,Z,-12.653,-13.372,,CY AQR,AAVSO,STD,,,,
2460887.280870,10.357,0.009,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.206,Z,-12.376,-13.133,,CY AQR,AAVSO,STD,,,,
2460887.282023,10.460,0.010,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.207,Z,-12.406,-13.042,,CY AQR,AAVSO,STD,,,,
2460887.283073,10.454,0.006,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.208,Z,-12.673,-13.423,,CY AQR,AAVSO,STD,,,,
2460887.283501,10.438,0.006,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.208,Z,-12.668,-13.402,,CY AQR,AAVSO,STD,,,,
2460887.284248,10.408,0.006,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.209,Z,-12.545,-13.369,,CY AQR,AAVSO,STD,,,,
2460887.286411,10.491,0.006,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.211,Z,-12.625,-13.371,,CY AQR,AAVSO,STD,,,,
2460887.287878,10.565,0.007,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.213,Z,-12.653,-13.352,,CY AQR,AAVSO,STD,,,,
2460887.288690,10.640,0.008,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.214,Z,-12.577,-13.262,,CY AQR,AAVSO,STD,,,,
2460887.289876,10.683,0.008,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.215,Z,-12.572,-13.262,,CY AQR,AAVSO,STD,,,,
2460887.290667,10.667,0.008,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.216,Z,-12.604,-13.344,,CY AQR,AAVSO,STD,,,,
2460887.291325,10.706,0.007,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.217,Z,-12.674,-13.422,,CY AQR,AAVSO,STD,,,,
2460887.292645,10.751,0.008,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.219,Z,-12.577,-13.337,,CY AQR,AAVSO,STD,,,,
2460887.293217,10.699,0.007,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.220,Z,-12.611,-13.402,,CY AQR,AAVSO,STD,,,,
2460887.293646,10.808,0.009,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.220,Z,-12.660,-13.331,,CY AQR,AAVSO,STD,,,,
2460887.294074,10.762,0.008,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.221,Z,-12.635,-13.346,,CY AQR,AAVSO,STD,,,,
2460887.295259,10.869,0.009,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.223,Z,-12.693,-13.405,,CY AQR,AAVSO,STD,,,,
2460887.295831,10.872,0.010,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.224,Z,-12.646,-13.338,,CY AQR,AAVSO,STD,,,,
2460887.297013,10.937,0.011,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.226,Z,-12.626,-13.284,,CY AQR,AAVSO,STD,,,,
2460887.299369,10.934,0.010,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.230,Z,-12.597,-13.338,,CY AQR,AAVSO,STD,,,,
2460887.300052,10.915,0.009,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.231,Z,-12.594,-13.345,,CY AQR,AAVSO,STD,,,,
2460887.301039,10.897,0.010,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.233,Z,-12.460,-13.329,,CY AQR,AAVSO,STD,,,,
2460887.301655,11.045,0.012,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.234,Z,-12.585,-13.308,,CY AQR,AAVSO,STD,,,,
2460887.302159,11.006,0.009,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.235,Z,-12.636,-13.329,,CY AQR,AAVSO,STD,,,,
2460887.302707,10.882,0.009,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.236,Z,-12.521,-13.304,,CY AQR,AAVSO,STD,,,,
2460887.303640,10.995,0.009,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.238,Z,-12.653,-13.417,,CY AQR,AAVSO,STD,,,,
2460887.304430,11.017,0.009,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.239,Z,-12.674,-13.440,,CY AQR,AAVSO,STD,,,,
2460887.304860,11.031,0.010,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.240,Z,-12.664,-13.430,,CY AQR,AAVSO,STD,,,,
2460887.305324,10.901,0.009,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.241,Z,-12.635,-13.422,,CY AQR,AAVSO,STD,,,,
2460887.305895,11.058,0.013,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.242,Z,-12.561,-13.222,,CY AQR,AAVSO,STD,,,,
2460887.306500,11.055,0.011,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.244,Z,-12.669,-13.384,,CY AQR,AAVSO,STD,,,,
2460887.307293,11.066,0.010,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.246,Z,-12.674,-13.438,,CY AQR,AAVSO,STD,,,,
2460887.308288,11.090,0.010,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.248,Z,-12.664,-13.373,,CY AQR,AAVSO,STD,,,,
2460887.309056,10.983,0.009,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.250,Z,-12.662,-13.437,,CY AQR,AAVSO,STD,,,,
2460887.309694,11.012,0.010,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.251,Z,-12.709,-13.390,,CY AQR,AAVSO,STD,,,,
2460887.310365,11.045,0.010,,TG,PEX,,000-BLD-973,000-BCQ-596,X40513CGX,,0,1.253,Z,-12.659,-13.389,,CY AQR,AAVSO,STD,,,,
