JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458314.92004,9.211,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.475,-14.986,,ZZ MIC,VSS,STD,,,,
2458314.92225,9.232,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.510,-14.996,,ZZ MIC,VSS,STD,,,,
2458314.92446,9.236,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.516,-15.027,,ZZ MIC,VSS,STD,,,,
2458314.92667,9.259,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.528,-15.034,,ZZ MIC,VSS,STD,,,,
2458314.92887,9.294,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.527,-15.030,,ZZ MIC,VSS,STD,,,,
2458314.93108,9.324,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.516,-15.031,,ZZ MIC,VSS,STD,,,,
2458314.93329,9.347,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.535,-15.028,,ZZ MIC,VSS,STD,,,,
2458314.93550,9.394,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.547,-15.059,,ZZ MIC,VSS,STD,,,,
2458314.93770,9.404,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.549,-15.050,,ZZ MIC,VSS,STD,,,,
2458314.93991,9.446,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.556,-15.059,,ZZ MIC,VSS,STD,,,,
2458314.94212,9.477,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.577,-15.075,,ZZ MIC,VSS,STD,,,,
2458314.94433,9.456,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.559,-15.078,,ZZ MIC,VSS,STD,,,,
2458314.94654,9.494,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.563,-15.085,,ZZ MIC,VSS,STD,,,,
2458314.94875,9.523,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.584,-15.096,,ZZ MIC,VSS,STD,,,,
2458314.95096,9.513,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.578,-15.086,,ZZ MIC,VSS,STD,,,,
2458314.95317,9.533,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.586,-15.103,,ZZ MIC,VSS,STD,,,,
2458314.95538,9.559,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.600,-15.098,,ZZ MIC,VSS,STD,,,,
2458314.95759,9.553,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.594,-15.110,,ZZ MIC,VSS,STD,,,,
2458314.95980,9.552,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.588,-15.116,,ZZ MIC,VSS,STD,,,,
2458314.96200,9.580,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.615,-15.121,,ZZ MIC,VSS,STD,,,,
2458314.96422,9.560,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.605,-15.125,,ZZ MIC,VSS,STD,,,,
2458314.96644,9.540,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.601,-15.136,,ZZ MIC,VSS,STD,,,,
2458314.96865,9.557,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.628,-15.137,,ZZ MIC,VSS,STD,,,,
2458314.97086,9.525,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.617,-15.134,,ZZ MIC,VSS,STD,,,,
2458314.97307,9.490,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.623,-15.139,,ZZ MIC,VSS,STD,,,,
2458314.97528,9.457,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.630,-15.142,,ZZ MIC,VSS,STD,,,,
2458314.97748,9.407,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.640,-15.148,,ZZ MIC,VSS,STD,,,,
2458314.97969,9.335,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.639,-15.156,,ZZ MIC,VSS,STD,,,,
2458314.98191,9.274,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.643,-15.149,,ZZ MIC,VSS,STD,,,,
2458314.98412,9.230,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.648,-15.144,,ZZ MIC,VSS,STD,,,,
2458314.98632,9.171,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.632,-15.167,,ZZ MIC,VSS,STD,,,,
2458314.98853,9.190,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.653,-15.168,,ZZ MIC,VSS,STD,,,,
2458314.99074,9.184,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.648,-15.165,,ZZ MIC,VSS,STD,,,,
2458314.99295,9.226,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.661,-15.170,,ZZ MIC,VSS,STD,,,,
2458314.99516,9.240,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.654,-15.171,,ZZ MIC,VSS,STD,,,,
2458314.99737,9.286,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.661,-15.186,,ZZ MIC,VSS,STD,,,,
2458314.99958,9.324,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.664,-15.179,,ZZ MIC,VSS,STD,,,,
2458315.00179,9.370,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.662,-15.184,,ZZ MIC,VSS,STD,,,,
2458315.00401,9.378,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.662,-15.181,,ZZ MIC,VSS,STD,,,,
2458315.00622,9.426,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.667,-15.184,,ZZ MIC,VSS,STD,,,,
2458315.00843,9.445,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.675,-15.185,,ZZ MIC,VSS,STD,,,,
2458315.01065,9.480,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.669,-15.187,,ZZ MIC,VSS,STD,,,,
2458315.01285,9.483,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.666,-15.196,,ZZ MIC,VSS,STD,,,,
2458315.01506,9.527,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.681,-15.194,,ZZ MIC,VSS,STD,,,,
2458315.01727,9.515,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.674,-15.194,,ZZ MIC,VSS,STD,,,,
2458315.01948,9.545,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.674,-15.190,,ZZ MIC,VSS,STD,,,,
2458315.02169,9.547,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.676,-15.192,,ZZ MIC,VSS,STD,,,,
2458315.02391,9.561,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.686,-15.194,,ZZ MIC,VSS,STD,,,,
2458315.02612,9.576,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.692,-15.190,,ZZ MIC,VSS,STD,,,,
2458315.02833,9.567,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.683,-15.187,,ZZ MIC,VSS,STD,,,,
2458315.03054,9.563,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.677,-15.205,,ZZ MIC,VSS,STD,,,,
2458315.03276,9.543,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.685,-15.199,,ZZ MIC,VSS,STD,,,,
2458315.03497,9.537,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.696,-15.204,,ZZ MIC,VSS,STD,,,,
2458315.03719,9.510,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.700,-15.202,,ZZ MIC,VSS,STD,,,,
2458315.03940,9.474,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.687,-15.209,,ZZ MIC,VSS,STD,,,,
2458315.04161,9.445,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.691,-15.207,,ZZ MIC,VSS,STD,,,,
2458315.04381,9.399,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.699,-15.209,,ZZ MIC,VSS,STD,,,,
2458315.04602,9.336,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.684,-15.204,,ZZ MIC,VSS,STD,,,,
2458315.04824,9.287,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.688,-15.210,,ZZ MIC,VSS,STD,,,,
2458315.05044,9.241,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.688,-15.204,,ZZ MIC,VSS,STD,,,,
2458315.05265,9.246,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.700,-15.208,,ZZ MIC,VSS,STD,,,,
2458315.05486,9.209,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.708,-15.217,,ZZ MIC,VSS,STD,,,,
2458315.05707,9.205,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.699,-15.212,,ZZ MIC,VSS,STD,,,,
2458315.05928,9.225,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.698,-15.215,,ZZ MIC,VSS,STD,,,,
2458315.06149,9.288,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.712,-15.206,,ZZ MIC,VSS,STD,,,,
2458315.06370,9.285,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.693,-15.221,,ZZ MIC,VSS,STD,,,,
2458315.06591,9.324,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.705,-15.217,,ZZ MIC,VSS,STD,,,,
2458315.06811,9.334,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.704,-15.229,,ZZ MIC,VSS,STD,,,,
2458315.07032,9.381,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.706,-15.220,,ZZ MIC,VSS,STD,,,,
2458315.07254,9.406,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.703,-15.217,,ZZ MIC,VSS,STD,,,,
2458315.07475,9.434,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.706,-15.228,,ZZ MIC,VSS,STD,,,,
2458315.07696,9.441,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.696,-15.222,,ZZ MIC,VSS,STD,,,,
2458315.07917,9.491,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.718,-15.223,,ZZ MIC,VSS,STD,,,,
2458315.08138,9.469,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.703,-15.219,,ZZ MIC,VSS,STD,,,,
2458315.08359,9.476,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.692,-15.221,,ZZ MIC,VSS,STD,,,,
2458315.08580,9.519,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.705,-15.223,,ZZ MIC,VSS,STD,,,,
2458315.08801,9.527,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.700,-15.221,,ZZ MIC,VSS,STD,,,,
2458315.09022,9.527,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.701,-15.210,,ZZ MIC,VSS,STD,,,,
2458315.09243,9.554,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.701,-15.222,,ZZ MIC,VSS,STD,,,,
2458315.09464,9.558,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.691,-15.215,,ZZ MIC,VSS,STD,,,,
2458315.09685,9.541,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.688,-15.209,,ZZ MIC,VSS,STD,,,,
2458315.09905,9.566,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.680,-15.211,,ZZ MIC,VSS,STD,,,,
2458315.10126,9.565,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.712,-15.217,,ZZ MIC,VSS,STD,,,,
2458315.10347,9.543,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.708,-15.216,,ZZ MIC,VSS,STD,,,,
2458315.10568,9.503,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.697,-15.221,,ZZ MIC,VSS,STD,,,,
2458315.10788,9.468,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.702,-15.227,,ZZ MIC,VSS,STD,,,,
2458315.11009,9.432,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.704,-15.224,,ZZ MIC,VSS,STD,,,,
2458315.11230,9.355,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.694,-15.214,,ZZ MIC,VSS,STD,,,,
2458315.11451,9.297,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.691,-15.214,,ZZ MIC,VSS,STD,,,,
2458315.11672,9.254,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.707,-15.219,,ZZ MIC,VSS,STD,,,,
2458315.11894,9.168,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.468,-15.003,,ZZ MIC,VSS,STD,,,,
2458315.12112,9.148,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.653,-15.185,,ZZ MIC,VSS,STD,,,,
2458315.12333,9.169,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.540,-15.056,,ZZ MIC,VSS,STD,,,,
2458315.12554,9.164,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.531,-15.045,,ZZ MIC,VSS,STD,,,,
2458315.91555,9.488,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.511,-14.994,,ZZ MIC,VSS,STD,,,,
2458315.91777,9.411,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.496,-15.008,,ZZ MIC,VSS,STD,,,,
2458315.91998,9.349,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.504,-15.012,,ZZ MIC,VSS,STD,,,,
2458315.92219,9.280,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.523,-15.028,,ZZ MIC,VSS,STD,,,,
2458315.92440,9.233,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.530,-15.037,,ZZ MIC,VSS,STD,,,,
2458315.92661,9.173,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.523,-15.040,,ZZ MIC,VSS,STD,,,,
2458315.92882,9.202,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.555,-15.048,,ZZ MIC,VSS,STD,,,,
2458315.93103,9.205,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.561,-15.054,,ZZ MIC,VSS,STD,,,,
2458315.93324,9.193,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.544,-15.060,,ZZ MIC,VSS,STD,,,,
2458315.93545,9.279,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.563,-15.067,,ZZ MIC,VSS,STD,,,,
2458315.93766,9.309,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.579,-15.074,,ZZ MIC,VSS,STD,,,,
2458315.93987,9.311,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.570,-15.085,,ZZ MIC,VSS,STD,,,,
2458315.94208,9.354,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.584,-15.095,,ZZ MIC,VSS,STD,,,,
2458315.94429,9.411,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.592,-15.107,,ZZ MIC,VSS,STD,,,,
2458315.94651,9.430,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.599,-15.104,,ZZ MIC,VSS,STD,,,,
2458315.94873,9.460,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.607,-15.109,,ZZ MIC,VSS,STD,,,,
2458315.95094,9.492,,,V,ARX,,HD 200027,HD 200320,K V B-V FROM TYCHOII,CREFMAG=9.493|KREFMAG=8.923|TBV=2.440|TV_BV=-0.114,1,,Z,-14.609,-15.110,,ZZ MIC,VSS,STD,,,,
